,Weight Room,Date,time,count
194,1.0,2015-12-20,06:30am ,
195,1.0,2015-12-21,06:30am ,23.0
196,1.0,2015-12-22,06:30am ,14.0
197,1.0,2015-12-23,06:30am ,8.0
198,1.0,2016-01-15,06:30am ,57.0
199,1.0,2016-01-16,06:30am ,
200,1.0,2016-01-22,06:30am ,60.0
201,1.0,2016-01-29,06:30am ,41.0
202,1.0,2016-01-02,06:30am ,
203,1.0,2016-01-04,06:30am ,27.0
204,1.0,2016-01-05,06:30am ,30.0
205,1.0,2016-01-06,06:30am ,17.0
206,1.0,2016-01-07,06:30am ,41.0
207,1.0,2016-01-08,06:30am ,19.0
208,1.0,2016-01-09,06:30am ,
209,1.0,2016-01-11,06:30am ,12.0
210,1.0,2016-01-12,06:30am ,47.0
211,1.0,2016-01-13,06:30am ,43.0
212,1.0,2016-01-14,06:30am ,65.0
213,1.0,2016-01-17,06:30am ,
214,1.0,2016-01-18,06:30am ,25.0
215,1.0,2016-01-19,06:30am ,65.0
216,1.0,2016-01-20,06:30am ,87.0
217,1.0,2016-01-21,06:30am ,63.0
218,1.0,2016-01-23,06:30am ,
219,1.0,2016-01-25,06:30am ,75.0
220,1.0,2016-01-26,06:30am ,89.0
221,1.0,2016-01-27,06:30am ,68.0
222,1.0,2016-01-28,06:30am ,56.0
223,1.0,2016-01-31,06:30am ,
224,1.0,2016-01-03,06:30am ,0.0
225,1.0,2016-01-30,06:30am ,
226,1.0,2016-01-23,06:30am ,
227,1.0,2016-02-01,06:30am ,66.0
228,1.0,2016-02-02,06:30am ,70.0
229,1.0,2016-02-03,06:30am ,68.0
230,1.0,2016-02-04,06:30am ,53.0
231,1.0,2016-02-05,06:30am ,37.0
232,1.0,2016-02-06,06:30am ,
233,1.0,2016-02-07,06:30am ,
234,1.0,2016-02-08,06:30am ,49.0
235,1.0,2016-02-09,06:30am ,82.0
236,1.0,2016-02-10,06:30am ,73.0
237,1.0,2016-02-11,06:30am ,64.0
238,1.0,2016-02-12,06:30am ,35.0
239,1.0,2016-02-13,06:30am ,
240,1.0,2016-02-14,06:30am ,
241,1.0,2016-02-15,06:30am ,64.0
242,1.0,2016-02-16,06:30am ,65.0
243,1.0,2016-02-17,06:30am ,59.0
244,1.0,2016-02-18,06:30am ,55.0
245,1.0,2016-02-19,06:30am ,43.0
246,1.0,2016-02-20,06:30am ,
247,1.0,2016-02-21,06:30am ,
248,1.0,2016-02-22,06:30am ,83.0
249,1.0,2016-02-23,06:30am ,78.0
250,1.0,2016-02-24,06:30am ,68.0
251,1.0,2016-02-25,06:30am ,52.0
252,1.0,2016-02-26,06:30am ,42.0
253,1.0,2016-02-27,06:30am ,
254,1.0,2016-02-28,06:30am ,
255,1.0,2016-02-29,06:30am ,74.0
256,1.0,2016-03-01,06:30am ,60.0
257,1.0,2016-03-02,06:30am ,68.0
258,1.0,2016-03-03,06:30am ,50.0
259,1.0,2016-03-04,06:30am ,51.0
260,1.0,2016-03-05,06:30am ,
261,1.0,2016-03-06,06:30am ,
262,1.0,2016-03-07,06:30am ,64.0
263,1.0,2016-03-08,06:30am ,48.0
264,1.0,2016-03-09,06:30am ,50.0
265,1.0,2016-03-10,06:30am ,42.0
266,1.0,2016-03-11,06:30am ,39.0
267,1.0,2016-03-12,06:30am ,
268,1.0,2016-03-13,06:30am ,
269,1.0,2016-03-14,06:30am ,20.0
270,1.0,2016-03-15,06:30am ,29.0
271,1.0,2016-03-16,06:30am ,21.0
272,1.0,2016-03-17,06:30am ,26.0
273,1.0,2016-03-18,06:30am ,11.0
274,1.0,2016-03-19,06:30am ,
275,1.0,2016-03-20,06:30am ,
276,1.0,2016-03-21,06:30am ,68.0
277,1.0,2016-03-22,06:30am ,67.0
278,1.0,2016-03-23,06:30am ,55.0
279,1.0,2016-03-24,06:30am ,51.0
280,1.0,2016-03-25,06:30am ,43.0
281,1.0,2016-03-26,06:30am ,
282,1.0,2016-03-27,06:30am ,
283,1.0,2016-03-28,06:30am ,71.0
284,1.0,2016-03-29,06:30am ,55.0
285,1.0,2016-03-30,06:30am ,67.0
286,1.0,2016-03-31,06:30am ,50.0
287,1.0,2016-04-14,06:30am ,55.0
288,1.0,2016-04-01,06:30am ,41.0
289,1.0,2016-04-02,06:30am ,
290,1.0,2016-04-03,06:30am ,
291,1.0,2016-04-04,06:30am ,50.0
292,1.0,2016-04-05,06:30am ,51.0
293,1.0,2016-04-06,06:30am ,50.0
294,1.0,2016-04-07,06:30am ,38.0
295,1.0,2016-04-08,06:30am ,45.0
296,1.0,2016-04-09,06:30am ,
297,1.0,2016-04-13,06:30am ,56.0
298,1.0,2016-04-15,06:30am ,37.0
299,1.0,2016-04-17,06:30am ,
300,1.0,2016-04-10,06:30am ,
301,1.0,2016-04-11,06:30am ,63.0
302,1.0,2016-04-12,06:30am ,70.0
303,1.0,2016-04-16,06:30am ,
304,1.0,2016-05-24,06:30am ,
305,1.0,2016-05-02,06:30am ,63.0
306,1.0,2016-05-03,06:30am ,52.0
307,1.0,2016-05-04,06:30am ,53.0
308,1.0,2016-05-05,06:30am ,40.0
309,1.0,2016-05-06,06:30am ,21.0
310,1.0,2016-05-08,06:30am ,1.0
311,1.0,2016-05-09,06:30am ,
312,1.0,2016-05-10,06:30am ,
313,1.0,2016-05-11,06:30am ,
314,1.0,2016-05-12,06:30am ,
315,1.0,2016-05-13,06:30am ,
316,1.0,2016-05-01,06:30am ,
317,2.0,2015-10-01,06:30am ,23.0
318,2.0,2015-10-02,06:30am ,25.0
319,2.0,2015-10-03,06:30am ,
320,2.0,2015-10-04,06:30am ,
321,2.0,2015-10-05,06:30am ,53.0
322,2.0,2015-10-06,06:30am ,43.0
323,2.0,2015-10-07,06:30am ,42.0
324,2.0,2015-10-08,06:30am ,27.0
325,2.0,2015-10-09,06:30am ,26.0
326,2.0,2015-10-10,06:30am ,
327,2.0,2015-10-11,06:30am ,
328,2.0,2015-10-12,06:30am ,33.0
329,2.0,2015-10-13,06:30am ,35.0
330,2.0,2015-10-14,06:30am ,38.0
331,2.0,2015-10-15,06:30am ,38.0
332,2.0,2015-10-16,06:30am ,21.0
333,2.0,2015-10-17,06:30am ,
334,2.0,2015-10-18,06:30am ,
335,2.0,2015-10-19,06:30am ,35.0
336,2.0,2015-10-20,06:30am ,32.0
337,2.0,2015-10-21,06:30am ,42.0
338,2.0,2015-10-22,06:30am ,30.0
339,2.0,2015-10-23,06:30am ,13.0
340,2.0,2015-10-24,06:30am ,
341,2.0,2015-10-25,06:30am ,
342,2.0,2015-10-26,06:30am ,31.0
343,2.0,2015-10-27,06:30am ,27.0
344,2.0,2015-10-28,06:30am ,33.0
345,2.0,2015-10-29,06:30am ,25.0
346,2.0,2015-10-30,06:30am ,17.0
347,2.0,2015-10-31,06:30am ,
348,2.0,2015-11-01,06:30am ,
349,2.0,2015-11-02,06:30am ,36.0
350,2.0,2015-11-03,06:30am ,34.0
351,2.0,2015-11-04,06:30am ,39.0
352,2.0,2015-11-05,06:30am ,24.0
353,2.0,2015-11-06,06:30am ,23.0
354,2.0,2015-11-07,06:30am ,
355,2.0,2015-11-08,06:30am ,
356,2.0,2015-11-09,06:30am ,27.0
357,2.0,2015-11-10,06:30am ,29.0
358,2.0,2015-11-11,06:30am ,7.0
359,2.0,2015-11-12,06:30am ,22.0
360,2.0,2015-11-13,06:30am ,25.0
361,2.0,2015-11-14,06:30am ,
362,2.0,2015-11-15,06:30am ,
363,2.0,2015-11-16,06:30am ,28.0
364,2.0,2015-11-17,06:30am ,29.0
365,2.0,2015-11-18,06:30am ,27.0
366,2.0,2015-11-19,06:30am ,29.0
367,2.0,2015-11-20,06:30am ,15.0
368,2.0,2015-11-21,06:30am ,
369,2.0,2015-11-22,06:30am ,
370,2.0,2015-11-23,06:30am ,33.0
371,2.0,2015-11-24,06:30am ,25.0
372,2.0,2015-11-25,06:30am ,7.0
373,2.0,2015-11-28,06:30am ,
374,2.0,2015-11-29,06:30am ,
375,2.0,2015-11-30,06:30am ,30.0
376,2.0,2015-12-01,06:30am ,26.0
377,2.0,2015-12-02,06:30am ,23.0
378,2.0,2015-12-03,06:30am ,20.0
379,2.0,2015-12-04,06:30am ,13.0
380,2.0,2015-12-05,06:30am ,
381,2.0,2015-12-06,06:30am ,
382,2.0,2015-12-07,06:30am ,25.0
383,2.0,2015-12-08,06:30am ,22.0
384,2.0,2015-12-09,06:30am ,21.0
385,2.0,2015-12-10,06:30am ,12.0
386,2.0,2015-12-11,06:30am ,16.0
387,2.0,2015-12-12,06:30am ,0.0
388,2.0,2015-12-13,06:30am ,2.0
389,2.0,2015-12-14,06:30am ,24.0
390,2.0,2015-12-15,06:30am ,20.0
391,2.0,2015-12-16,06:30am ,15.0
392,2.0,2015-12-17,06:30am ,14.0
393,2.0,2015-12-18,06:30am ,1.0
394,2.0,2015-12-19,06:30am ,
395,2.0,2015-12-20,06:30am ,
396,2.0,2015-12-21,06:30am ,17.0
397,2.0,2015-12-22,06:30am ,5.0
398,2.0,2015-12-23,06:30am ,5.0
399,2.0,2016-01-15,06:30am ,23.0
400,2.0,2016-01-16,06:30am ,
401,2.0,2016-01-22,06:30am ,31.0
402,2.0,2016-01-29,06:30am ,28.0
403,2.0,2016-01-02,06:30am ,
404,2.0,2016-01-04,06:30am ,18.0
405,2.0,2016-01-05,06:30am ,7.0
406,2.0,2016-01-06,06:30am ,12.0
407,2.0,2016-01-07,06:30am ,41.0
408,2.0,2016-01-08,06:30am ,9.0
409,2.0,2016-01-09,06:30am ,
410,2.0,2016-01-11,06:30am ,19.0
411,2.0,2016-01-12,06:30am ,19.0
412,2.0,2016-01-13,06:30am ,31.0
413,2.0,2016-01-14,06:30am ,38.0
414,2.0,2016-01-17,06:30am ,
415,2.0,2016-01-18,06:30am ,7.0
416,2.0,2016-01-19,06:30am ,55.0
417,2.0,2016-01-20,06:30am ,40.0
418,2.0,2016-01-21,06:30am ,35.0
419,2.0,2016-01-23,06:30am ,
420,2.0,2016-01-25,06:30am ,25.0
421,2.0,2016-01-26,06:30am ,37.0
422,2.0,2016-01-27,06:30am ,47.0
423,2.0,2016-01-28,06:30am ,35.0
424,2.0,2016-01-31,06:30am ,
425,2.0,2016-01-03,06:30am ,0.0
426,2.0,2016-01-30,06:30am ,
427,2.0,2016-01-23,06:30am ,
428,2.0,2016-02-01,06:30am ,50.0
429,2.0,2016-02-02,06:30am ,46.0
430,2.0,2016-02-03,06:30am ,47.0
431,2.0,2016-02-04,06:30am ,22.0
432,2.0,2016-02-05,06:30am ,
433,2.0,2016-02-06,06:30am ,
434,2.0,2016-02-07,06:30am ,
435,2.0,2016-02-08,06:30am ,23.0
436,2.0,2016-02-09,06:30am ,37.0
437,2.0,2016-02-10,06:30am ,43.0
438,2.0,2016-02-11,06:30am ,28.0
439,2.0,2016-02-12,06:30am ,29.0
440,2.0,2016-02-13,06:30am ,
441,2.0,2016-02-14,06:30am ,
442,2.0,2016-02-15,06:30am ,35.0
443,2.0,2016-02-16,06:30am ,32.0
444,2.0,2016-02-17,06:30am ,33.0
445,2.0,2016-02-18,06:30am ,23.0
446,2.0,2016-02-19,06:30am ,25.0
447,2.0,2016-02-20,06:30am ,
448,2.0,2016-02-21,06:30am ,
449,2.0,2016-02-22,06:30am ,49.0
450,2.0,2016-02-23,06:30am ,36.0
451,2.0,2016-02-24,06:30am ,31.0
452,2.0,2016-02-25,06:30am ,30.0
453,2.0,2016-02-26,06:30am ,19.0
454,2.0,2016-02-27,06:30am ,
455,2.0,2016-02-28,06:30am ,
456,2.0,2016-02-29,06:30am ,36.0
457,2.0,2016-03-01,06:30am ,36.0
458,2.0,2016-03-02,06:30am ,49.0
459,2.0,2016-03-03,06:30am ,17.0
460,2.0,2016-03-04,06:30am ,23.0
461,2.0,2016-03-05,06:30am ,
462,2.0,2016-03-06,06:30am ,
463,2.0,2016-03-07,06:30am ,33.0
464,2.0,2016-03-08,06:30am ,30.0
465,2.0,2016-03-09,06:30am ,29.0
466,2.0,2016-03-10,06:30am ,17.0
467,2.0,2016-03-11,06:30am ,13.0
468,2.0,2016-03-12,06:30am ,
469,2.0,2016-03-13,06:30am ,
470,2.0,2016-03-14,06:30am ,9.0
471,2.0,2016-03-15,06:30am ,11.0
472,2.0,2016-03-16,06:30am ,10.0
473,2.0,2016-03-17,06:30am ,10.0
474,2.0,2016-03-18,06:30am ,8.0
475,2.0,2016-03-19,06:30am ,
476,2.0,2016-03-20,06:30am ,
477,2.0,2016-03-21,06:30am ,44.0
478,2.0,2016-03-22,06:30am ,36.0
479,2.0,2016-03-23,06:30am ,35.0
480,2.0,2016-03-24,06:30am ,30.0
481,2.0,2016-03-25,06:30am ,21.0
482,2.0,2016-03-26,06:30am ,
483,2.0,2016-03-27,06:30am ,
484,2.0,2016-03-28,06:30am ,31.0
485,2.0,2016-03-29,06:30am ,42.0
486,2.0,2016-03-30,06:30am ,45.0
487,2.0,2016-03-31,06:30am ,27.0
488,2.0,2016-04-14,06:30am ,25.0
489,2.0,2016-04-01,06:30am ,21.0
490,2.0,2016-04-02,06:30am ,
491,2.0,2016-04-03,06:30am ,
492,2.0,2016-04-04,06:30am ,34.0
493,2.0,2016-04-05,06:30am ,20.0
494,2.0,2016-04-06,06:30am ,22.0
495,2.0,2016-04-07,06:30am ,26.0
496,2.0,2016-04-08,06:30am ,19.0
497,2.0,2016-04-09,06:30am ,
498,2.0,2016-04-13,06:30am ,36.0
499,2.0,2016-04-15,06:30am ,31.0
500,2.0,2016-04-17,06:30am ,
501,2.0,2016-04-10,06:30am ,
502,2.0,2016-04-11,06:30am ,29.0
503,2.0,2016-04-12,06:30am ,23.0
504,2.0,2016-04-16,06:30am ,
505,2.0,2016-05-24,06:30am ,
506,2.0,2016-05-02,06:30am ,32.0
507,2.0,2016-05-03,06:30am ,23.0
508,2.0,2016-05-04,06:30am ,28.0
509,2.0,2016-05-05,06:30am ,15.0
510,2.0,2016-05-06,06:30am ,15.0
511,2.0,2016-05-08,06:30am ,2.0
512,2.0,2016-05-09,06:30am ,
513,2.0,2016-05-10,06:30am ,
514,2.0,2016-05-11,06:30am ,
515,2.0,2016-05-12,06:30am ,
516,2.0,2016-05-13,06:30am ,
517,2.0,2016-05-01,06:30am ,
1115,2.0,2015-08-04,07:30am ,14.0
1116,2.0,2015-08-05,07:30am ,18.0
1117,2.0,2015-08-06,07:30am ,17.0
1118,2.0,2015-08-07,07:30am ,7.0
1119,2.0,2015-08-08,07:30am ,
1120,2.0,2015-08-09,07:30am ,
1121,2.0,2015-08-10,07:30am ,15.0
1122,2.0,2015-08-11,07:30am ,18.0
1123,2.0,2015-08-12,07:30am ,13.0
1124,2.0,2015-08-13,07:30am ,16.0
1125,2.0,2015-08-14,07:30am ,14.0
1126,2.0,2015-08-15,07:30am ,19.0
1127,2.0,2015-08-16,07:30am ,
1128,2.0,2015-08-17,07:30am ,
1129,2.0,2015-08-18,07:30am ,
1130,2.0,2015-08-19,07:30am ,25.0
1131,2.0,2015-08-20,07:30am ,22.0
1132,2.0,2015-08-21,07:30am ,21.0
1133,2.0,2015-08-22,07:30am ,
1134,2.0,2015-08-23,07:30am ,
1135,2.0,2015-08-24,07:30am ,80.0
1136,2.0,2015-08-25,07:30am ,36.0
1137,2.0,2015-08-26,07:30am ,54.0
1138,2.0,2015-08-27,07:30am ,51.0
1139,2.0,2015-08-28,07:30am ,35.0
1140,2.0,2015-08-29,07:30am ,
1141,2.0,2015-08-30,07:30am ,
1142,2.0,2015-08-31,07:30am ,55.0
1143,2.0,2015-09-01,07:30am ,41.0
1144,2.0,2015-09-02,07:30am ,54.0
1145,2.0,2015-09-03,07:30am ,30.0
1146,2.0,2015-09-04,07:30am ,33.0
1147,2.0,2015-09-05,07:30am ,
1148,2.0,2015-09-06,07:30am ,
1149,2.0,2015-09-07,07:30am ,9.0
1150,2.0,2015-09-08,07:30am ,50.0
